icscode,nlc,station_name,journey_time_orig,journey_time_dest,ml_orig,ml_dest,ml_ics_orig,ml_ics_dest,ml_orig_station_name,ml_dest_station_name,lng,lat,duration_change
90007499,1342,Uttoxeter,175,157,Euston,Euston,1000077,1000077,Euston,Euston,-1.8572508072,52.8979579211,-18
90001786,1243,Crewe,140,123,Euston,Euston,1000077,1000077,Euston,Euston,-2.43377329515,53.0879573301,-17
90000668,1176,Blake Street,164,147,Euston,Euston,1000077,1000077,Euston,Euston,-1.84572778297,52.6045245602,-17
90000527,1165,Bedworth,155,139,Euston,Euston,1000077,1000077,Euston,Euston,-1.46877912642,52.4802722078,-16
90004272,1177,Lichfield City,178,162,Euston,Euston,1000077,1000077,Euston,Euston,-1.81690385707,52.682739089,-16
90008040,1350,Wrenbury,165,148,Euston,Euston,1000077,1000077,Euston,Euston,-2.59631651335,53.019205218,-17
90002358,1212,Dudley Port,160,144,Euston,Euston,1000077,1000077,Euston,Euston,-2.05132198801,52.5246938596,-16
90000318,1624,Attenborough,176,167,St Pancras,St Pancras,1001276,1001276,St.Pancras,St.Pancras,-1.23304928595,52.9063117724,-9
90007384,1393,Tring,82,68,Euston,Euston,1000077,1000077,Euston,Euston,-0.623990904646,51.8007486579,-14
90001624,1016,Cannock,175,160,Euston,Euston,1000077,1000077,Euston,Euston,-2.01630674987,52.6937114363,-15
90005844,1128,Perry Barr,146,130,Euston,Euston,1000077,1000077,Euston,Euston,-1.90299059967,52.516934251,-16
1019670,1090,Aylesbury Vale Parkway,103,99,Other,Euston,1000145,1000077,Marylebone,Euston,-0.859615647519,51.8311878123,-4
90000477,1560,Bricket Wood,75,61,Euston,Euston,1000077,1000077,Euston,Euston,-0.365707480729,51.7040164323,-14
90005247,1077,Nuneaton,128,122,St Pancras,St Pancras,1001276,1001276,St.Pancras,St.Pancras,-1.46343194293,52.5264568119,-6
90003044,4457,Gobowen,211,196,Euston,Euston,1000077,1000077,Euston,Euston,-3.03321609646,52.8927835349,-15
90005773,2337,Prescot,224,208,Euston,Euston,1000077,1000077,Euston,Euston,-2.79821084796,53.4245071138,-16
90005408,2257,Newton-Le-Willows,205,189,Euston,Euston,1000077,1000077,Euston,Euston,-2.60826288853,53.4538052958,-16
90005531,2402,Parbold,188,172,Euston,Euston,1000077,1000077,Euston,Euston,-2.77174158974,53.5913753031,-16
90007762,2161,Whiston,240,224,Euston,Euston,1000077,1000077,Euston,Euston,-2.79351094016,53.4145608994,-16
90006231,2977,Ryder Brow,192,176,Euston,Euston,1000077,1000077,Euston,Euston,-2.17307386408,53.4568021691,-16
90004646,2242,Liverpool Central,173,156,Euston,Euston,1000077,1000077,Euston,Euston,-2.97939666068,53.4066906935,-17
90005729,2433,Penyffordd,248,233,Euston,Euston,1000077,1000077,Euston,Euston,-3.05397867924,53.1415668626,-15
90004689,2871,Macclesfield,144,128,Euston,Euston,1000077,1000077,Euston,Euston,-2.12280624059,53.2593394532,-16
90006728,2199,Spital,204,189,Euston,Euston,1000077,1000077,Euston,Euston,-2.99347590131,53.340792962,-15
90000295,2850,Ashley,234,218,Euston,Euston,1000077,1000077,Euston,Euston,-2.34213937953,53.3560796511,-16
90004167,2245,Kirkdale,214,199,Euston,Euston,1000077,1000077,Euston,Euston,-2.97927411227,53.4419461637,-15
90004534,2457,Llanrwst,288,271,Euston,Euston,1000077,1000077,Euston,Euston,-3.79575403184,53.1397452414,-17
90003412,8067,Hessle,207,199,King's Cross,King's Cross,1001171,1001171,King's Cross,King's Cross,-0.441298022882,53.7172947533,-8
90005433,3219,Oldfield Park,140,138,Paddington,Paddington,1001221,1001221,Paddington,Paddington,-2.37761643425,51.378806825,-2
90006418,3206,Shirehampton,215,213,Paddington,Paddington,1001221,1001221,Paddington,Paddington,-2.67868069455,51.4840908997,-2
90006482,3150,Shiplake,102,100,Paddington,Paddington,1001221,1001221,Paddington,Paddington,-0.882061519865,51.5099987462,-2
90000224,2960,Ardwick,200,188,Euston,Euston,1000077,1000077,Euston,Euston,-2.21223640676,53.4732777354,-12
90001581,2795,Clifton,225,208,Euston,Euston,1000077,1000077,Euston,Euston,-2.31308290571,53.521908085,-17
90003550,3146,Henley-On-Thames,106,104,Paddington,Paddington,1001221,1001221,Paddington,Paddington,-0.899479568254,51.5346660841,-2
90003908,2817,Irlam,223,207,Euston,Euston,1000077,1000077,Euston,Euston,-2.43458374055,53.4342045295,-16
90006563,2728,Skipton,223,212,King's Cross,King's Cross,1001171,1001171,King's Cross,King's Cross,-2.03638620126,53.9569299016,-11
90003988,2605,Kearsley,211,195,Euston,Euston,1000077,1000077,Euston,Euston,-2.37406465439,53.5442936377,-16
90005535,3524,Par,329,321,Paddington,Paddington,1001221,1001221,Paddington,Paddington,-4.70467525733,50.3553248405,-8
90004966,2849,Mobberley,231,215,Euston,Euston,1000077,1000077,Euston,Euston,-2.33449545273,53.3296745936,-16
90007021,3056,Saunderton,107,106,Other,Euston,90005782,1000077,Princes Risborough,Euston,-0.825837921278,51.676156557,-1
90002739,3012,Finstock,153,149,Paddington,Paddington,1001221,1001221,Paddington,Paddington,-1.46879605803,51.8523734067,-4
90000020,3801,Abercynon,224,218,Paddington,Paddington,1001221,1001221,Paddington,Paddington,-3.33173746618,51.6425491182,-6
90005721,4251,Pontarddulais,308,416,Paddington,Euston,1001221,1000077,Paddington,Euston,-4.04522558067,51.7169952065,108
90003329,4079,Haverfordwest,311,307,Paddington,Paddington,1001221,1001221,Paddington,Paddington,-4.9587547992,51.8026668419,-4
90007483,4504,University,145,129,Euston,Euston,1000077,1000077,Euston,Euston,-1.93682981174,52.4519597178,-16
90004741,3859,Mountain Ash,247,244,Paddington,Paddington,1001221,1001221,Paddington,Paddington,-3.37669857851,51.6811897947,-3
90007372,3891,Treorchy,262,256,Paddington,Paddington,1001221,1001221,Paddington,Paddington,-3.50550062217,51.6570394146,-6
90007613,3796,Waun-gron Park,212,206,Paddington,Paddington,1001221,1001221,Paddington,Paddington,-3.22849310764,51.4879364295,-6
90005886,3904,Pontypridd,216,210,Paddington,Paddington,1001221,1001221,Paddington,Paddington,-3.34188382119,51.5994975409,-6
90006833,3586,St.Germans,279,273,Paddington,Paddington,1001221,1001221,Paddington,Paddington,-4.30791222189,50.3942825665,-6
90004442,3847,Llanishen,199,196,Paddington,Paddington,1001221,1001221,Paddington,Paddington,-3.18128206891,51.5336956926,-3
90000405,4011,Bargoed,222,216,Paddington,Paddington,1001221,1001221,Paddington,Paddington,-3.22906930792,51.6911449736,-6
90000424,1903,Barrow-Upon-Soar,145,136,St Pancras,St Pancras,1001276,1001276,St.Pancras,St.Pancras,-1.14483418478,52.749783439,-9
90005909,4254,Pen-Y-Bont,404,286,Paddington,Euston,1001221,1000077,Paddington,Euston,-3.32251841626,52.2739797393,-118
90000300,5398,Ashurst,92,90,London Bridge,Victoria,1000139,1000248,London Bridge,Victoria,0.151343841994,51.128496307,-2
90005698,5225,Pluckley,96,90,Other,St Pancras,1001313,1001276,Waterloo (East),St.Pancras,0.745879787222,51.1564709382,-6
90005849,5537,Portsmouth & Southsea,142,140,Waterloo,Waterloo,1000254,1000254,Waterloo,Waterloo,-1.08864258346,50.7976665969,-2
90005738,5455,Polegate,108,104,Victoria,Victoria,1000248,1000248,Victoria,Victoria,0.245285261544,50.8207191897,-4
90006858,5286,Southwick,115,109,Victoria,Victoria,1000248,1000248,Victoria,Victoria,-0.235295478822,50.8324864574,-6
90004670,4826,Lydney,201,195,Paddington,Paddington,1001221,1001221,Paddington,Paddington,-2.52632174493,51.7156381147,-6
90002875,5284,Fishersgate,113,107,Victoria,Victoria,1000248,1000248,Victoria,Victoria,-0.218472622538,50.8342093422,-6
90003015,4760,Gloucester,201,185,Euston,Euston,1000077,1000077,Euston,Euston,-2.23812549972,51.8657374252,-16
90002569,5134,East Malling,112,107,Victoria,Victoria,1000248,1000248,Victoria,Victoria,0.44060552281,51.2851059637,-5
90002618,5217,Etchingham,96,100,Other,Charing Cross,1001313,1000045,Waterloo (East),Charing Cross,0.442199155293,51.0105387373,4
